296.8	314.97	185.8	250.68	64.48	56.94	44.68	30.44
349.86	368.99	221.2	291.75	73.97	61.31	48.37	36.17
432.08	444.41	259.18	338.38	85.46	74.63	58.63	44.1
509.45	505.27	298.37	402.83	97.92	82.23	66.48	54.18
584.87	566	333.59	444.13	111.77	100.86	77.7	58.92
653.48	610.75	355.97	474.73	136.2	117.28	96.83	74.34
698.23	641.13	354.86	483.9	166.14	145.89	108.41	88.48
685.17	616.06	347.35	478.45	190.55	161.39	136.3	97.94
622.17	575.06	319.65	466.8	228.11	195.77	148.72	122.59
453.14	454.61	259.65	361.01	341.61	293.01	220.27	180.24
368.48	377.07	215.54	309.61	420.9	350.75	260.32	224.54
302.61	313.1	192.55	258.89	504.11	416.89	307.44	264.79
244.87	261.61	154.89	218.93	590.9	497.54	349.24	305.13
199.7	226.13	129.82	187.08	669.55	558.61	384.59	343.79
163.99	182.25	105.75	153.76	757.8	621.28	418.03	375.61
134.92	151.21	89.03	128.39	801.18	647.14	432.28	405.52
114.7	131.44	79.65	105.38	807.87	653.48	443.01	400.8
97.06	111.56	66.69	95.97	770	624.85	427.49	392.42
68.52	82.04	46	65.96	479.58	396.72	291.87	229.77
62.32	72.14	40.13	61.13	448.86	362.13	250.08	202.3
50.85	60.03	33.41	52.23	395.49	314.07	214.7	186.41
41.63	51.55	32.04	42.46	335.86	271.51	192.61	168.7
35.8	43.87	27.2	38.68	297.87	238.49	178.49	153.75
36.32	40.31	26.24	34.89	261.97	216.72	160.3	146.73
202.58	368.11	281.92	226.23	46.73	64.79	59.99	30.54
245.9	439.1	330.1	280.89	55.24	73.96	68.79	35.82
288.42	506.75	388.56	318.24	62.87	83.83	79.77	42.8
381.06	683.55	516.58	390.54	85.39	114.18	106.25	55.51
419.54	736.69	549.63	425.51	108.82	132.8	124.76	66.54
425.35	769	570.92	439.92	122.14	158.82	146.42	84.89
413.06	736.99	555.01	437.54	153.2	186.52	176.76	98.7
388.17	679.8	515.14	404.7	179.76	223.41	211.8	116.77
340.73	603.85	449.38	371.51	220.87	277.3	251.72	138.58
291.87	526.44	387.83	331.08	241.85	333.28	295.68	165.44
259.13	445.69	325.42	273.86	315.44	406.44	365.38	199.49
203.14	365.85	267.21	239.34	344.85	485.18	430.38	231.03
147.31	255.13	182.63	168.96	453.87	668.73	557.06	306.55
119.62	212.31	153.24	142.62	500.25	729.18	613.99	337.17
101.15	177.63	127.46	116.69	530.82	775.35	636.28	354.65
85.68	148.04	104.49	96.82	530.06	775.63	638.93	350.48
69.93	128.08	89.21	82.58	513.24	737.63	617.94	338.61
60.83	107.39	69.96	73.1	445.75	576.66	511.58	309.85
49.28	91.23	61.27	63.13	306.08	447.11	390.42	234.94
41.21	79.83	54.56	52.48	269.76	411.32	354.39	194.11
38.65	71.13	47.2	45.54	253.73	369.15	314.32	167.9
28.85	49.07	32.94	35.55	209.8	284.35	237.99	140.27
26.85	47.03	31.49	31.01	197.7	255.45	215.7	124.45
188.76	281.35	319.72	327.96	45.34	48.27	69.23	42.17
225.21	326.06	374.79	378.92	50.37	54.77	77.48	48.48
266.89	368.48	455.73	441.17	56.49	66.1	85.63	56.08
303.92	413.79	540.08	520.51	73.41	68.34	102.39	66.01
335.96	482.07	611.8	578.25	82.2	87.48	118	75.69
349.32	507.07	675.39	623.2	94.92	105.15	145.07	88.39
363.15	514.31	696.23	641.27	116.38	117.55	166.9	107.1
334.62	460.89	612.66	591.76	162.04	165.76	233.52	162.85
302.8	422.85	534.41	526.92	194.86	205.99	290.49	190.2
262	372.28	451.59	460.99	236.15	251.11	346.94	232.94
224.87	324.56	370.48	379.24	276.82	302.92	421.11	284.87
187.85	269.03	300.93	319.65	320.24	345.45	509.1	344.54
158.17	224.77	246.89	269.85	361.69	393.55	583.46	409.3
134	187.32	202.13	215.99	420.77	443.21	670.06	466.18
113.18	154.56	171.14	185.9	435.58	488.58	730.52	525.3
88.93	128.94	137.15	156	456.07	497.8	759.65	554.79
63.92	93.93	101.2	108.21	447.96	484.48	721.27	520.31
53.49	81.54	88.14	93.61	402.87	429.17	564.9	425.59
43.8	69	76.59	85.45	312.27	297.77	438.03	329.2
41.48	56.62	61.48	69.96	262.37	249.77	388.1	291.62
35.63	51.03	51.85	63.34	232.92	235.44	364.25	261.9
29.89	43.85	41.42	50.37	215.86	204.75	325.25	219.04
27.48	37.79	35.66	45.93	186.27	186.9	279.82	199.35
23.52	35.99	34.42	39	166.3	181.8	249.85	179.37
247.39	230.01	222.3	351.48	52.94	40.04	50.63	42.72
349.45	313.89	302.34	503.85	72.83	51.49	67.65	62.15
416.79	354.76	349.93	593.85	87.23	65.21	73.94	73.86
484.41	397.83	392.72	681.27	101.04	73.23	91.21	87.62
539.32	416.94	430.96	748.41	124.8	95.89	112.07	103.85
545.69	434.11	428.14	766.44	141.9	109.32	126.56	119.06
528.54	411.65	422.1	738.45	172.72	131.92	153.01	151.46
478.15	389.7	388.62	675.62	214.21	155.07	190.03	179.08
431.1	344.28	352.04	598.11	256	180.82	224.23	221.51
356.34	314.96	295.18	514.96	305.72	227.28	256.04	268.99
256.01	234.08	216.86	371.9	436.96	298.13	363.41	402.96
209.49	197.79	174.25	291.3	505.32	346.75	396.34	484.03
168.25	160.07	143.76	238.93	586.38	383.3	464.75	565.83
135.85	139.18	119.49	198.27	625.48	422.41	485.27	631.15
112.15	119.25	99.34	167.25	658.97	423.92	510.8	672.54
99.66	98.18	82.24	142.94	647.82	423.86	495.9	667.68
80.94	83.38	73.21	120.55	632.39	402.3	481.79	632.31
71.89	66.82	54.99	102.14	502.59	367.32	401.23	437.04
61.15	61.14	49.24	92.82	405.48	279.93	297.23	374.49
45.8	47.39	37.79	65.55	330.89	215.9	228.65	303.82
39.17	41.25	32.85	54.8	287.44	186.73	210.45	254.31
31.77	35.93	27.97	46.92	247.35	171.31	188.28	216.23
29.34	29.99	25.76	44.15	228.65	150.54	179.97	201.62
351.32	412.76	164.25	206.44	87.56	79.73	38.32	24.97
424.77	482.87	190.27	233.8	96.17	93.86	40.8	31.46
506.44	580.18	219.46	272.41	110.79	103.8	50.35	36.27
585.41	667.51	247.85	302.86	123.59	118.21	56.99	41.56
682.08	745.56	277.03	332.18	143.15	139.42	71.75	49.49
762.17	812.49	298.58	351	194.77	189.75	104.18	69.61
736.51	799.52	288.55	344.08	229.66	223.66	118.37	85.72
663.32	736.08	264.27	320.15	276.99	269.77	139.77	99.97
588.55	655.14	245.39	291.62	329.99	320.06	165.99	121.31
485.85	556.34	202.87	267.3	401.39	389.01	189.28	146.51
410.04	470.01	190.65	227.13	475.1	461.49	230.42	162.65
341.52	400.86	160.25	200.58	560.89	547	257.41	192.93
274	327.04	133.92	166.61	671.1	653.48	289.99	218.55
226.39	275.62	117.35	140.85	764.58	736.92	327.39	253.2
159.55	200.68	78.49	96.51	881.3	854.07	351	280.14
131.62	164.63	70.37	80.45	866.23	843.41	364.15	274.76
113.27	144.42	58.89	70.27	819.39	809.85	356.45	264.79
96.92	127.07	52.07	58.51	544.44	579.62	320.01	236.62
80.97	106.27	38.04	54.08	492.89	526.39	243.27	181.97
61.96	83.11	34.3	46.8	467.73	467.99	198.86	147.52
53.44	73.38	29.31	38.58	423.58	407.7	180.13	128.69
50.3	62.82	25.66	33.34	371.04	349.27	165.48	119.72
42.35	57.06	21.8	31.32	315.79	296.77	147.61	111.38
235.41	494.35	245.83	186.49	56.34	96.94	54.75	25.23
271.73	575.97	279.63	204.62	60.14	107.35	58.93	26.48
324.75	707.45	334.21	244.76	73.69	121.83	69.73	35.04
373.99	837.58	385.23	268.83	85.15	142.34	81.75	41.72
415.82	941.54	420.66	290.66	99.76	163.42	96.61	47.42
441.31	1014.31	443.9	299.06	114.75	184.87	113.63	52.94
442.73	1040.18	447.82	298.52	136.8	220.86	136.1	66.25
433.93	997.08	431.27	299.37	162.94	258.51	156.04	78.59
395.72	901.41	399.39	274.86	197.44	310.49	187.76	93.37
297.51	643.77	308.25	231.79	281.39	454.73	270.75	130.79
256.9	551.3	264.68	196.55	324.93	546.31	319.65	151.31
212.52	452.73	217.21	173.86	378.8	665.76	369.69	177.79
178.15	375.72	180.08	149.79	440.31	793.65	421.94	197.28
149.15	312.41	156.94	122.54	494.37	905.01	474.86	211.41
126.68	262.65	128.2	108.52	536.73	993.69	504.32	236.82
103.59	225.87	105.23	88.42	550.15	1042.52	519.66	233.93
87.87	188.8	90.17	74.83	551.04	1009.32	516.8	235.87
72.93	158.24	75.06	64.82	526.25	931.65	493.45	234.31
56.79	111.76	55.06	49.8	317.25	639.77	313.07	170.73
48.15	97.8	49.51	42.2	282.96	564.63	288.58	131.62
39.8	86.68	41.61	32.56	266.79	482.34	260.21	116.68
33.72	76.73	34.01	29.76	243.82	404.73	232.13	106.13
29.07	69.01	30.42	28.3	228.27	334.59	215.55	101.7
27.63	64.69	29.14	24.61	213.07	282.23	200.24	97.06
161.1	359.69	397.68	241.75	38.77	61.11	84.17	30.37
184.06	422.62	476.55	289.86	44.45	73.66	99.01	36.76
205.87	476.45	542.76	315.31	49.18	80.06	107.32	42.49
258.86	643.69	778.58	405.28	70.45	113.68	148	60.7
282.18	668.68	829.85	434.79	87.39	130.14	171.44	70.55
280.46	673.2	853.38	452.82	103.92	153.46	201.06	85.68
264.61	650.56	830.32	431.58	117.37	188.32	246.49	99.87
249.07	603.01	726.28	392.17	146.42	230.21	294.97	120.58
212.32	525.96	609.06	357.54	172.06	270.41	347.97	150.1
198.45	457.97	514.61	313.39	204.17	326.94	418.92	179.06
174.86	379.11	424.75	268.27	236.51	391.25	516.56	215.68
145.39	322.99	351.07	236.18	259.9	452.63	607.21	248.45
105.75	223.1	223.51	157.23	339.08	602.87	804.27	323.32
90.61	197.14	191.99	133.93	363.89	654.01	871.56	342.59
73.08	162.85	166.32	113.65	364.15	678.06	916.17	352.76
61.13	138.11	141.04	99.87	359.96	661.17	910.46	371.04
50.79	118.41	120.27	83.31	352.58	635.56	856.44	338.9
41.7	102.41	102.77	71.07	305.56	425.97	631.65	272.48
36.77	87.24	86.82	63.01	237.82	363.15	569.3	221.08
31.97	77.01	66.46	56.15	198.32	333.55	490.44	197.94
27.2	61.07	57.06	46.65	174.51	310.58	430.62	171.55
23.79	46.9	46.13	33.38	148.7	248	313.1	137.03
21.76	44.94	44.58	31.24	141.75	236.55	275.18	137
154.06	214.86	354.41	401.23	37.34	38.92	82.21	60.27
183.54	240.44	411.48	468.03	43.73	43.13	91.39	65.31
215.94	270.89	510.63	573.14	51.2	47.11	109.86	82.18
247.04	306.34	602.92	672.83	59.72	57.08	125.25	92.69
273.92	330.31	675.82	752.1	67.41	66.56	137.61	104.13
286.48	355.42	751.45	830.23	80.73	81	167.58	121.82
298.06	360.11	786.24	856.89	100.2	92.62	195.42	146.25
269.89	332.86	682.65	765.13	141.77	134.99	273.9	206.79
253.28	315.11	609.72	690.51	169.18	154.93	314.31	244.28
